habitat,color,volume,volumetotal,percent
Marginal,orange,0.2005,5.4657425,3.66830307135764
Suitable,dodgerblue,4.5525375,5.4657425,83.2922059537199
Tolerable,yellow,0.31983,5.4657425,5.85153801153274
Unsuitable,black,0.392875,5.4657425,7.1879529633897
