"UTMX","UTMY","name"
NA,4370000,"Susquehanna Flats"
NA,4371000,"Susquehanna Flats"
NA,4372000,"Susquehanna Flats"
NA,4377000,"Susquehanna Flats"
NA,4369000,"Susquehanna Flats"
NA,4369000,"Susquehanna Flats"
NA,4370000,"Susquehanna Flats"
NA,4370000,"Susquehanna Flats"
NA,4371000,"Susquehanna Flats"
NA,4372000,"Susquehanna Flats"
NA,4373000,"Susquehanna Flats"
NA,4369000,"Susquehanna Flats"
NA,4369000,"Susquehanna Flats"
NA,4369000,"Susquehanna Flats"
NA,4370000,"Susquehanna Flats"
NA,4370000,"Susquehanna Flats"
NA,4371000,"Susquehanna Flats"
NA,4372000,"Susquehanna Flats"
NA,4373000,"Susquehanna Flats"
NA,4374000,"Susquehanna Flats"
NA,4376000,"Susquehanna Flats"
NA,4377000,"Susquehanna Flats"
NA,4371000,"Susquehanna Flats"
NA,4371000,"Susquehanna Flats"
NA,4372000,"Susquehanna Flats"
NA,4373000,"Susquehanna Flats"
NA,4375000,"Susquehanna Flats"
NA,4376000,"Susquehanna Flats"
NA,4374000,"Susquehanna Flats"
NA,4375000,"Susquehanna Flats"
NA,4376000,"Susquehanna Flats"
NA,4336000,"Hodges Bar"
NA,4336000,"Hodges Bar"
NA,4336000,"Hodges Bar"
NA,4336000,"Hodges Bar"
NA,4336000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4337000,"Hodges Bar"
NA,4335000,"Seven Foot Knoll"
NA,4335000,"Seven Foot Knoll"
NA,4335000,"Seven Foot Knoll"
NA,4335000,"Seven Foot Knoll"
NA,4335000,"Seven Foot Knoll"
NA,4334000,"Six Foot Knoll"
NA,4334000,"Six Foot Knoll"
NA,4334000,"Six Foot Knoll"
NA,4334000,"Six Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4334000,"Nine Foot Knoll"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4331000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4332000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4333000,"Swan Pt Ground"
NA,4330000,"Swan Pt Bar"
NA,4330000,"Swan Pt Bar"
NA,4331000,"Swan Pt Bar"
NA,4331000,"Swan Pt Bar"
NA,4332000,"Swan Pt Bar"
NA,4332000,"Swan Pt Bar"
NA,4329000,"Swan Pt Bar"
NA,4329000,"Swan Pt Bar"
NA,4329000,"Swan Pt Bar"
NA,4329000,"Swan Pt Bar"
NA,4324000,"Hickory Thicket"
NA,4324000,"Hickory Thicket"
NA,4324000,"Hickory Thicket"
NA,4324000,"Hickory Thicket"
NA,4324000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4325000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4326000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4327000,"Hickory Thicket"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4323000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4324000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4325000,"Love Pt Ground"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4327000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4328000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4329000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
NA,4330000,"Belvidere Shoal"
