habitat,color,volume,volumetotal,percent
Marginal,orange,0.2895,2.2508,12.8620934778745
Suitable,dodgerblue,0.75529,2.2508,33.556513239737
Tolerable,yellow,0.31859,2.2508,14.1545228363249
Unsuitable,black,0.88742,2.2508,39.4268704460636
