habitat,color,volume,volumetotal,percent
Marginal,orange,0.21814,2.2508,9.69166518571175
Suitable,dodgerblue,1.053,2.2508,46.7833659143416
Tolerable,yellow,0.5915,2.2508,26.2795450506487
Unsuitable,black,0.38816,2.2508,17.245423849298
