habitat,color,volume,volumetotal,percent
Marginal,orange,1.3276975,5.7147425,23.2328490741271
Suitable,dodgerblue,2.0869075,5.7147425,36.517962095405
Tolerable,yellow,1.661565,5.7147425,29.0750633121265
Unsuitable,black,0.6385725,5.7147425,11.1741255183414
