habitat,color,volume,volumetotal,percent
Marginal,orange,0.2605,2.2508,11.5736626977075
Suitable,dodgerblue,1.6173,2.2508,71.8544517504887
Tolerable,yellow,0.24925,2.2508,11.0738404122979
Unsuitable,black,0.12375,2.2508,5.49804513950595
