label,x,y,z,name,milesY,distfrommouth
potomac,323692,4304801,5,"Washington, DC",2674.878502171,66.3630441710002
potomac,323447,4296934,5,"Alexandria, VA",2669.990176514,61.4747185140004
potomac,301993,4260416,5,Mallows Bay,2647.298950336,38.7834923360001
potomac,325498,4247824,5,Rt 301 Bridge,2639.474646704,30.9591887040001
potomac,338450,4236297,5,Cobb Island,2632.312103187,23.7966451870002
potomac,384006,4210855,5,Pt Lookout,2616.503182205,7.98772420500018
