habitat,color,volume,volumetotal,percent
Marginal,orange,0.048,2.2508,2.13257508441443
Suitable,dodgerblue,0.8623,2.2508,38.3108228185534
Tolerable,yellow,1.3345,2.2508,59.2900302114804
Unsuitable,black,0.006,2.2508,0.266571885551804
