habitat,color,volume,volumetotal,percent
Marginal,orange,1.3355125,5.7147425,23.3696006425486
Suitable,dodgerblue,1.793955,5.7147425,31.3917031257314
Tolerable,yellow,1.6392825,5.7147425,28.6851507307635
Unsuitable,black,0.9459925,5.7147425,16.5535455009565
