"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempC"
"CB5.3",2026-06-23,0.5,77.9,8.3,7.9,26700,16.4,NA,"1.7","MDmain",25.5
"CB5.3",2026-06-23,1,77.72,8.3,8,26900,16.5,NA,NA,"MDmain",25.4
"CB5.3",2026-06-23,2,77.54,8.3,7.7,27000,16.5,NA,NA,"MDmain",25.3
"CB5.3",2026-06-23,3,77.36,8.2,7.2,27900,17.1,NA,NA,"MDmain",25.2
"CB5.3",2026-06-23,4,77.18,8.2,6.9,28200,17.4,NA,NA,"MDmain",25.1
"CB5.3",2026-06-23,5,76.28,8.1,6.2,28400,17.5,NA,NA,"MDmain",24.6
"CB5.3",2026-06-23,6,75.92,8,5.7,28800,17.8,NA,NA,"MDmain",24.4
"CB5.3",2026-06-23,7,75.2,7.9,4.8,29400,18.2,NA,NA,"MDmain",24
"CB5.3",2026-06-23,8,74.48,7.8,4,30200,18.8,NA,NA,"MDmain",23.6
"CB5.3",2026-06-23,9,74.3,7.8,3.7,30300,18.8,NA,NA,"MDmain",23.5
"CB5.3",2026-06-23,10,74.12,7.7,3.7,30600,19,NA,NA,"MDmain",23.4
"CB5.3",2026-06-23,11,73.58,7.7,3.2,31200,19.4,NA,NA,"MDmain",23.1
"CB5.3",2026-06-23,12,73.4,7.6,3,32100,20,NA,NA,"MDmain",23
"CB5.3",2026-06-23,13,72.86,7.6,2.7,32500,20.4,NA,NA,"MDmain",22.7
"CB5.3",2026-06-23,15,72.86,7.6,2.6,32600,20.4,NA,NA,"MDmain",22.7
"CB5.3",2026-06-23,17,72.5,7.6,2.6,32900,20.6,NA,NA,"MDmain",22.5
"CB5.3",2026-06-23,19,72.32,7.6,2.5,33000,20.7,NA,NA,"MDmain",22.4
"CB5.3",2026-06-23,21,72.14,7.6,2.3,33200,20.8,NA,NA,"MDmain",22.3
"CB5.3",2026-06-23,23,72.32,7.6,2.4,33300,20.9,NA,NA,"MDmain",22.4
"CB5.3",2026-06-23,25,72.14,7.6,2.4,33300,20.9,NA,NA,"MDmain",22.3
"LE2.3",2026-06-23,0.5,77.72,8.3,8,24900,15.1,NA,"1.5","MDmain",25.4
"LE2.3",2026-06-23,1,77.72,8.3,7.9,24800,15.1,NA,NA,"MDmain",25.4
"LE2.3",2026-06-23,2,77,8.2,7.3,25100,15.3,NA,NA,"MDmain",25
"LE2.3",2026-06-23,3,77,8.2,6.9,25500,15.6,NA,NA,"MDmain",25
"LE2.3",2026-06-23,4,76.64,8.1,6.3,25800,15.8,NA,NA,"MDmain",24.8
"LE2.3",2026-06-23,5,76.28,8,5.7,26500,16.2,NA,NA,"MDmain",24.6
"LE2.3",2026-06-23,6,74.48,7.6,3.2,27600,17,NA,NA,"MDmain",23.6
"LE2.3",2026-06-23,7,73.4,7.5,2,28600,17.6,NA,NA,"MDmain",23
"LE2.3",2026-06-23,8,73.22,7.5,2,29100,18,NA,NA,"MDmain",22.9
"LE2.3",2026-06-23,9,73.22,7.5,2.3,29200,18.1,NA,NA,"MDmain",22.9
"LE2.3",2026-06-23,10,73.04,7.5,2.2,30100,18.6,NA,NA,"MDmain",22.8
"LE2.3",2026-06-23,11,72.14,7.4,1.1,30600,19,NA,NA,"MDmain",22.3
"LE2.3",2026-06-23,12,71.78,7.4,1,30900,19.2,NA,NA,"MDmain",22.1
"LE2.3",2026-06-23,13,71.6,7.4,0.8,31100,19.3,NA,NA,"MDmain",22
"LE2.3",2026-06-23,15,71.42,7.4,0.8,31200,19.5,NA,NA,"MDmain",21.9
"LE2.3",2026-06-23,17,71.6,7.4,0.8,31400,19.6,NA,NA,"MDmain",22
"LE2.3",2026-06-23,18,71.6,7.4,0.8,31400,19.6,NA,NA,"MDmain",22
"CB5.2",2026-06-23,0.5,77.54,8.3,8.2,26100,16,NA,"1.9","MDmain",25.3
"CB5.2",2026-06-23,1,77.54,8.3,8.2,26100,16,NA,NA,"MDmain",25.3
"CB5.2",2026-06-23,2,77.54,8.3,8.2,26100,16,NA,NA,"MDmain",25.3
"CB5.2",2026-06-23,3,77.18,8.3,8.2,26100,16,NA,NA,"MDmain",25.1
"CB5.2",2026-06-23,4,77,8.3,8.1,26100,16,NA,NA,"MDmain",25
"CB5.2",2026-06-23,5,77,8.3,7.9,26100,16,NA,NA,"MDmain",25
"CB5.2",2026-06-23,6,78.98,8.2,7.7,26200,16,NA,NA,"MDmain",26.1
"CB5.2",2026-06-23,7,77.18,8.2,7.5,26300,16,NA,NA,"MDmain",25.1
"CB5.2",2026-06-23,8,77.36,8.2,6.9,26400,16.1,NA,NA,"MDmain",25.2
"CB5.2",2026-06-23,9,73.94,7.7,3.7,28500,17.6,NA,NA,"MDmain",23.3
"CB5.2",2026-06-23,10,72.5,7.5,2.2,30600,19,NA,NA,"MDmain",22.5
"CB5.2",2026-06-23,11,72.14,7.5,2,30800,19.2,NA,NA,"MDmain",22.3
"CB5.2",2026-06-23,12,71.6,7.5,1.8,31500,19.6,NA,NA,"MDmain",22
"CB5.2",2026-06-23,13,71.42,7.5,1.7,31600,19.7,NA,NA,"MDmain",21.9
"CB5.2",2026-06-23,14,71.24,7.4,1.6,31700,19.8,NA,NA,"MDmain",21.8
"CB5.2",2026-06-23,15,70.7,7.4,1.5,32400,20.3,NA,NA,"MDmain",21.5
"CB5.2",2026-06-23,16,69.98,7.4,1.4,33300,20.9,NA,NA,"MDmain",21.1
"CB5.2",2026-06-23,17,69.98,7.4,1.5,33400,20.9,NA,NA,"MDmain",21.1
"CB5.2",2026-06-23,19,69.98,7.4,1.5,33500,21,NA,NA,"MDmain",21.1
"CB5.2",2026-06-23,21,69.44,7.4,1.5,33900,21.3,NA,NA,"MDmain",20.8
"CB5.2",2026-06-23,23,69.44,7.4,1.5,33900,21.3,NA,NA,"MDmain",20.8
"CB5.2",2026-06-23,25,69.44,7.4,1.5,33900,21.3,NA,NA,"MDmain",20.8
"CB5.2",2026-06-23,27,69.26,7.5,1.5,33900,21.3,NA,NA,"MDmain",20.7
"CB5.2",2026-06-23,29,69.26,7.5,1.5,34000,21.3,NA,NA,"MDmain",20.7
"CB5.2",2026-06-23,30,69.26,7.5,1.5,34000,21.4,NA,NA,"MDmain",20.7
"CB5.1",2026-06-23,0.5,78.08,8.2,7.7,25900,15.8,NA,"1.2","MDmain",25.6
"CB5.1",2026-06-23,1,77.9,8.2,7.7,25900,15.8,NA,NA,"MDmain",25.5
"CB5.1",2026-06-23,2,78.08,8.2,7.7,25900,15.8,NA,NA,"MDmain",25.6
"CB5.1",2026-06-23,3,77.9,8.2,7.7,26000,15.8,NA,NA,"MDmain",25.5
"CB5.1",2026-06-23,4,77.18,8.2,7.6,26000,15.8,NA,NA,"MDmain",25.1
"CB5.1",2026-06-23,5,77,8.2,7.5,26000,15.9,NA,NA,"MDmain",25
"CB5.1",2026-06-23,6,77,8.2,7.5,26000,15.9,NA,NA,"MDmain",25
"CB5.1",2026-06-23,7,77,8.2,7.3,26100,15.9,NA,NA,"MDmain",25
"CB5.1",2026-06-23,8,77,8.1,7.1,26100,16,NA,NA,"MDmain",25
"CB5.1",2026-06-23,9,76.82,8.1,6.9,26300,16.1,NA,NA,"MDmain",24.9
"CB5.1",2026-06-23,10,76.28,8,6.2,26700,16.4,NA,NA,"MDmain",24.6
"CB5.1",2026-06-23,11,73.04,7.6,3.2,28700,17.7,NA,NA,"MDmain",22.8
"CB5.1",2026-06-23,12,72.14,7.5,2.5,29800,18.5,NA,NA,"MDmain",22.3
"CB5.1",2026-06-23,13,71.06,7.4,1.8,30600,19,NA,NA,"MDmain",21.7
"CB5.1",2026-06-23,14,70.16,7.4,1.1,31600,19.7,NA,NA,"MDmain",21.2
"CB5.1",2026-06-23,15,69.62,7.4,0.9,32200,20.1,NA,NA,"MDmain",20.9
"CB5.1",2026-06-23,17,69.62,7.4,0.9,32300,20.2,NA,NA,"MDmain",20.9
"CB5.1",2026-06-23,19,69.62,7.4,0.9,32500,20.3,NA,NA,"MDmain",20.9
"CB5.1",2026-06-23,21,69.44,7.4,0.9,32800,20.6,NA,NA,"MDmain",20.8
"CB5.1",2026-06-23,23,69.26,7.4,0.9,33000,20.7,NA,NA,"MDmain",20.7
"CB5.1",2026-06-23,25,69.08,7.4,0.9,33100,20.7,NA,NA,"MDmain",20.6
"CB5.1",2026-06-23,27,68.9,7.4,0.9,33500,21,NA,NA,"MDmain",20.5
"CB5.1",2026-06-23,29,68.72,7.4,0.9,33700,21.2,NA,NA,"MDmain",20.4
"CB5.1",2026-06-23,31,68.72,7.4,0.9,33700,21.2,NA,NA,"MDmain",20.4
"CB5.1",2026-06-23,33,68.72,7.4,0.9,33800,21.3,NA,NA,"MDmain",20.4
"CB5.1",2026-06-23,34,68.72,7.4,0.9,33900,21.3,NA,NA,"MDmain",20.4
"CB4.4",2026-06-24,0.5,75.92,8.1,7,25000,15.2,NA,"1.2","MDmain",24.4
"CB4.4",2026-06-24,1,75.92,8.1,7,25000,15.2,NA,NA,"MDmain",24.4
"CB4.4",2026-06-24,2,75.92,8.1,6.9,25100,15.2,NA,NA,"MDmain",24.4
"CB4.4",2026-06-24,3,75.92,8.1,6.8,25100,15.2,NA,NA,"MDmain",24.4
"CB4.4",2026-06-24,4,75.92,8.1,6.8,25100,15.3,NA,NA,"MDmain",24.4
"CB4.4",2026-06-24,5,75.74,8.1,6.7,25100,15.3,NA,NA,"MDmain",24.3
"CB4.4",2026-06-24,6,75.56,8,6.3,25400,15.5,NA,NA,"MDmain",24.2
"CB4.4",2026-06-24,7,75.38,8,5.9,25700,15.7,NA,NA,"MDmain",24.1
"CB4.4",2026-06-24,8,75.2,8,5.6,26000,15.8,NA,NA,"MDmain",24
"CB4.4",2026-06-24,9,74.66,7.8,4.9,26700,16.4,NA,NA,"MDmain",23.7
"CB4.4",2026-06-24,10,74.48,7.8,4.7,27100,16.6,NA,NA,"MDmain",23.6
"CB4.4",2026-06-24,11,71.42,7.8,1.5,29800,18.2,NA,NA,"MDmain",21.9
"CB4.4",2026-06-24,12,70.88,7.4,1.3,30900,19.2,NA,NA,"MDmain",21.6
"CB4.4",2026-06-24,13,70.88,7.4,1.3,31200,19.4,NA,NA,"MDmain",21.6
"CB4.4",2026-06-24,14,70.88,7.4,1.3,31000,19.3,NA,NA,"MDmain",21.6
"CB4.4",2026-06-24,15,70.34,7.4,1.1,31500,19.6,NA,NA,"MDmain",21.3
"CB4.4",2026-06-24,16,69.98,7.4,0.9,32000,20.1,NA,NA,"MDmain",21.1
"CB4.4",2026-06-24,17,69.8,7.4,0.8,32200,20.1,NA,NA,"MDmain",21
"CB4.4",2026-06-24,18,69.44,7.4,0.7,32400,20.2,NA,NA,"MDmain",20.8
"CB4.4",2026-06-24,19,69.26,7.4,0.7,33000,20.7,NA,NA,"MDmain",20.7
"CB4.4",2026-06-24,20,69.26,7.4,0.8,33100,20.7,NA,NA,"MDmain",20.7
"CB4.4",2026-06-24,21,69.08,7.4,0.8,33200,20.8,NA,NA,"MDmain",20.6
"CB4.4",2026-06-24,23,69.08,7.4,0.8,33200,20.8,NA,NA,"MDmain",20.6
"CB4.4",2026-06-24,25,69.08,7.4,0.8,33400,21,NA,NA,"MDmain",20.6
"CB4.4",2026-06-24,27,69.08,7.4,0.8,33500,21,NA,NA,"MDmain",20.6
"CB4.4",2026-06-24,29,68.9,7.4,0.8,33500,21,NA,NA,"MDmain",20.5
"CB4.3E",2026-06-24,0.5,75.74,8.1,7.1,24400,14.8,NA,"1","MDmain",24.3
"CB4.3E",2026-06-24,1,75.74,8.1,7.1,24400,14.8,NA,NA,"MDmain",24.3
"CB4.3E",2026-06-24,2,75.74,8.1,7,24400,14.8,NA,NA,"MDmain",24.3
"CB4.3E",2026-06-24,3,75.74,8.1,6.9,24500,14.9,NA,NA,"MDmain",24.3
"CB4.3E",2026-06-24,4,75.74,8.1,6.8,24500,14.9,NA,NA,"MDmain",24.3
"CB4.3E",2026-06-24,5,75.38,7.9,5.9,24900,15,NA,NA,"MDmain",24.1
"CB4.3E",2026-06-24,6,75.2,7.9,5.4,25100,15.2,NA,NA,"MDmain",24
"CB4.3E",2026-06-24,7,73.4,7.5,3.8,27100,16.7,NA,NA,"MDmain",23
"CB4.3E",2026-06-24,8,73.22,7.5,2.4,27200,16.7,NA,NA,"MDmain",22.9
"CB4.3E",2026-06-24,9,73.22,7.5,2.3,27600,17,NA,NA,"MDmain",22.9
"CB4.3E",2026-06-24,10,72.32,7.4,1.7,28200,17.4,NA,NA,"MDmain",22.4
