habitat,color,volume,volumetotal,percent
Marginal,orange,1.427935,5.7147425,24.9868651124701
Suitable,dodgerblue,0.8688825,5.7147425,15.2042283619953
Tolerable,yellow,1.8688925,5.7147425,32.7030045535735
Unsuitable,black,1.5490325,5.7147425,27.1059019719611
