UTMX,UTMY,Segment,Sdepth,volume_m,DO,Wtemp,uniqueID,Sdepthm,habitat,color,keep,milesx,milesy,distfrommouth
300500,4254500,POTOH,4.92126,250000,6.59,75.7,300500 4254500,1.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,14.76378,250000,5.85,75.2,300500 4254500,4.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,1.64042,250000,6.78,75.9,300500 4254500,0.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,11.48294,250000,6.09,75.4,300500 4254500,3.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
300500,4254500,POTOH,8.2021,250000,6.34,75.6,300500 4254500,2.5,Suitable,dodgerblue,YES,186.7219855,2643.6229195,35.1074615000002
301000,4265500,POTOH,18.04462,250000,6.61,75.9,301000 4265500,5.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,4.92126,250000,6.84,76.1,301000 4265500,1.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,24.6063,250000,6.62,75.9,301000 4265500,7.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,14.76378,250000,6.62,75.9,301000 4265500,4.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,1.64042,250000,6.88,76.1,301000 4265500,0.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,8.2021,250000,6.78,76,301000 4265500,2.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,21.32546,250000,6.62,75.9,301000 4265500,6.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4265500,POTOH,11.48294,250000,6.73,76,301000 4265500,3.5,Suitable,dodgerblue,YES,187.032671,2650.4580005,41.9425425000004
301000,4266000,POTOH,18.04462,250000,6.61,75.9,301000 4266000,5.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,4.92126,250000,6.82,76,301000 4266000,1.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,31.16798,250000,7.12,75.4,301000 4266000,9.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,24.6063,250000,6.62,75.9,301000 4266000,7.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,21.32546,250000,6.62,75.9,301000 4266000,6.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,11.48294,250000,6.71,76,301000 4266000,3.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,1.64042,250000,6.86,76,301000 4266000,0.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,14.76378,250000,6.62,75.9,301000 4266000,4.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,27.88714,250000,7.2,75.4,301000 4266000,8.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301000,4266000,POTOH,8.2021,250000,6.77,76,301000 4266000,2.5,Suitable,dodgerblue,YES,187.032671,2650.768686,42.253228
301500,4256000,POTOH,8.2021,250000,6.38,75.6,301500 4256000,2.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,14.76378,250000,5.89,75.2,301500 4256000,4.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,4.92126,250000,6.63,75.8,301500 4256000,1.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,11.48294,250000,6.13,75.5,301500 4256000,3.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256000,POTOH,1.64042,250000,6.82,76,301500 4256000,0.5,Suitable,dodgerblue,YES,187.3433565,2644.554976,36.039518
301500,4256500,POTOH,14.76378,250000,5.92,75.2,301500 4256500,4.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,11.48294,250000,6.16,75.5,301500 4256500,3.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,8.2021,250000,6.4,75.7,301500 4256500,2.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,1.64042,250000,6.84,76,301500 4256500,0.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4256500,POTOH,4.92126,250000,6.65,75.8,301500 4256500,1.5,Suitable,dodgerblue,YES,187.3433565,2644.8656615,36.3502035000001
301500,4257000,POTOH,8.2021,250000,6.43,75.7,301500 4257000,2.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,4.92126,250000,6.67,75.9,301500 4257000,1.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,1.64042,250000,6.86,76.1,301500 4257000,0.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
301500,4257000,POTOH,11.48294,250000,6.19,75.5,301500 4257000,3.5,Suitable,dodgerblue,YES,187.3433565,2645.176347,36.6608890000002
