"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI"
"CB5.3",2025-07-11,0.5,27.8,8.3,7.7,20200,12,NA,"1.6"
"CB5.3",2025-07-11,1,27.8,8.3,7.7,20200,12,NA,NA
"CB5.3",2025-07-11,2,27.8,8.3,7.7,20200,12,NA,NA
"CB5.3",2025-07-11,3,27.8,8.3,7.7,20300,12.1,NA,NA
"CB5.3",2025-07-11,4,28.1,8.2,7.4,21100,12.6,NA,NA
"CB5.3",2025-07-11,5,28.1,8.2,7,21600,12.9,NA,NA
"CB5.3",2025-07-11,6,27.9,8,6.2,22300,13.4,NA,NA
"CB5.3",2025-07-11,7,27.8,8,5.7,22600,13.6,NA,NA
"CB5.3",2025-07-11,8,27.7,7.9,5,23400,14.2,NA,NA
"CB5.3",2025-07-11,9,27.7,7.8,4.6,23800,14.4,NA,NA
"CB5.3",2025-07-11,10,27.4,7.7,3.4,25100,15.2,NA,NA
"CB5.3",2025-07-11,11,27,7.6,2.3,25300,15.4,NA,NA
"CB5.3",2025-07-11,12,26.5,7.4,1.3,26600,16.2,NA,NA
"CB5.3",2025-07-11,13,26.1,7.4,1.1,28300,17.4,NA,NA
"CB5.3",2025-07-11,14,25.6,7.4,0.7,30300,18.8,NA,NA
"CB5.3",2025-07-11,15,25.5,7.4,0.6,30800,19.1,NA,NA
"CB5.3",2025-07-11,17,25.6,7.4,0.7,31600,19.6,NA,NA
"CB5.3",2025-07-11,19,25.7,7.4,0.7,31700,19.7,NA,NA
"CB5.3",2025-07-11,21,25.7,7.4,0.7,31700,19.8,NA,NA
"CB5.3",2025-07-11,23,25.7,7.4,0.8,31800,19.8,NA,NA
"LE2.3",2025-07-11,0.5,28,8.2,7.3,18700,11,NA,"1.7"
"LE2.3",2025-07-11,1,27.9,8.2,7.1,18900,11.1,NA,NA
"LE2.3",2025-07-11,2,27.9,8.1,6.6,19700,11.7,NA,NA
"LE2.3",2025-07-11,3,27.8,8.1,6.3,20100,12,NA,NA
"LE2.3",2025-07-11,4,27.8,8,6,20600,12.3,NA,NA
"LE2.3",2025-07-11,5,27.8,8,5.3,20800,12.4,NA,NA
"LE2.3",2025-07-11,6,27.8,8,5.1,21000,12.5,NA,NA
"LE2.3",2025-07-11,7,27.6,7.9,4.6,21100,12.6,NA,NA
"LE2.3",2025-07-11,8,26,7.3,0.8,23100,14,NA,NA
"LE2.3",2025-07-11,9,25.7,7.3,0.4,23500,14.2,NA,NA
"LE2.3",2025-07-11,10,25,7.3,0.1,24800,15.1,NA,NA
"LE2.3",2025-07-11,11,24.9,7.3,0.1,25200,15.3,NA,NA
"LE2.3",2025-07-11,12,24.8,7.3,0.1,25500,15.5,NA,NA
"LE2.3",2025-07-11,13,24.8,7.3,0.1,25700,15.7,NA,NA
"LE2.3",2025-07-11,15,24.5,7.3,0.1,26500,16.2,NA,NA
"LE2.3",2025-07-11,17,24.3,7.3,0.2,26700,16.3,NA,NA
"CB5.2",2025-07-11,0.5,28.2,8.2,7.4,20600,12.3,NA,"1.9"
"CB5.2",2025-07-11,1,28.2,8.2,7.4,20600,12.3,NA,NA
"CB5.2",2025-07-11,2,28.2,8.2,7.4,20600,12.3,NA,NA
"CB5.2",2025-07-11,3,28.1,8.2,7.3,20600,12.3,NA,NA
"CB5.2",2025-07-11,4,28.1,8.2,7.2,20600,12.3,NA,NA
"CB5.2",2025-07-11,5,28.1,8.2,6.9,20700,12.4,NA,NA
"CB5.2",2025-07-11,6,27.9,8.1,5.6,20900,12.4,NA,NA
"CB5.2",2025-07-11,7,27.3,7.6,3,22300,13.4,NA,NA
"CB5.2",2025-07-11,8,25.7,7.3,0.1,24800,15.1,NA,NA
"CB5.2",2025-07-11,9,25,7.3,0.1,25200,15.3,NA,NA
"CB5.2",2025-07-11,10,25.5,7.3,0.3,25900,15.8,NA,NA
"CB5.2",2025-07-11,11,25.2,7.3,0.3,26900,16.5,NA,NA
"CB5.2",2025-07-11,12,24.7,7.3,0.2,27800,17.1,NA,NA
"CB5.2",2025-07-11,13,24.7,7.3,0.2,27900,17.2,NA,NA
"CB5.2",2025-07-11,14,24.4,7.3,0.1,28200,17.4,NA,NA
"CB5.2",2025-07-11,15,24.4,7.3,0.1,29000,17.9,NA,NA
"CB5.2",2025-07-11,16,24.6,7.3,0.1,29500,18.2,NA,NA
"CB5.2",2025-07-11,17,24.7,7,0.2,30000,18.6,NA,NA
"CB5.2",2025-07-11,19,24.7,7.3,0.2,30100,18.7,NA,NA
"CB5.2",2025-07-11,21,24.6,7.3,0.2,30200,18.7,NA,NA
"CB5.2",2025-07-11,23,24.6,7.3,0.2,30300,18.8,NA,NA
"CB5.2",2025-07-11,25,24.6,7.4,0.2,30300,18.8,NA,NA
"CB5.2",2025-07-11,27,24.4,7.4,0.2,30300,18.8,NA,NA
"CB5.2",2025-07-11,28,24.4,7.4,0.2,30300,18.8,NA,NA
"CB5.1",2025-07-10,0.5,28.4,8.3,7.7,19000,11.2,NA,"1.2"
"CB5.1",2025-07-10,1,28.4,8.3,8,19000,11.2,NA,NA
"CB5.1",2025-07-10,2,28.3,8.2,7.6,19100,11.2,NA,NA
"CB5.1",2025-07-10,3,28.2,8.2,7.2,19300,11.4,NA,NA
"CB5.1",2025-07-10,4,28.1,8.2,6.9,19400,11.5,NA,NA
"CB5.1",2025-07-10,5,28,8.1,6.2,19600,11.6,NA,NA
"CB5.1",2025-07-10,6,27.9,8,5.9,19700,11.7,NA,NA
"CB5.1",2025-07-10,7,27.8,8,5.7,19800,11.8,NA,NA
"CB5.1",2025-07-10,8,27.7,8,5.3,20400,12,NA,NA
"CB5.1",2025-07-10,9,26.3,7.5,2.4,21900,13.1,NA,NA
"CB5.1",2025-07-10,10,24.1,7.2,0.4,25100,15.2,NA,NA
"CB5.1",2025-07-10,11,23.2,7.3,0.3,26500,16.2,NA,NA
"CB5.1",2025-07-10,12,23.1,7.3,0.3,27300,16.8,NA,NA
"CB5.1",2025-07-10,13,23.2,7.3,0.3,27600,17,NA,NA
"CB5.1",2025-07-10,14,23.2,7.3,0.3,27800,17.1,NA,NA
"CB5.1",2025-07-10,15,23.1,7.3,0.4,28300,17.4,NA,NA
"CB5.1",2025-07-10,17,23,7.3,0.4,28600,17.7,NA,NA
"CB5.1",2025-07-10,19,22.9,7.3,0.4,29000,17.9,NA,NA
"CB5.1",2025-07-10,21,23,7.3,0.5,29400,18.2,NA,NA
"CB5.1",2025-07-10,23,23.1,7.3,0.5,29500,18.3,NA,NA
"CB5.1",2025-07-10,25,23.1,7.3,0.6,29500,18.3,NA,NA
"CB5.1",2025-07-10,27,23,7.3,0.7,29600,18.3,NA,NA
"CB5.1",2025-07-10,29,23,7.3,0.7,29600,18.3,NA,NA
"CB5.1",2025-07-10,31,23,7.3,1,29600,18.3,NA,NA
"CB5.1",2025-07-10,32,23,7.3,1,29600,18.3,NA,NA
"CB4.4",2025-07-10,0.5,28.2,8.8,7.6,18000,10.6,NA,"1.2"
"CB4.4",2025-07-10,1,28.2,8.8,7.5,18000,10.6,NA,NA
"CB4.4",2025-07-10,2,28.2,8.8,7.4,18000,10,NA,NA
"CB4.4",2025-07-10,3,28.2,8.8,7.1,18000,10.6,NA,NA
"CB4.4",2025-07-10,4,28.1,8.1,6.8,18200,10.7,NA,NA
"CB4.4",2025-07-10,5,28,8.1,6.4,18300,10.8,NA,NA
"CB4.4",2025-07-10,6,27.9,8,6,18500,10.9,NA,NA
"CB4.4",2025-07-10,7,27.7,7.9,4.9,18800,11.1,NA,NA
"CB4.4",2025-07-10,8,26.7,7.5,3,19400,11.5,NA,NA
"CB4.4",2025-07-10,9,26.5,7.5,3.1,19600,11.6,NA,NA
"CB4.4",2025-07-10,10,25.4,7.3,1.5,20900,12.5,NA,NA
"CB4.4",2025-07-10,11,23.6,7.2,0.4,23300,13.9,NA,NA
"CB4.4",2025-07-10,12,22.9,7.3,0.3,25100,15.3,NA,NA
"CB4.4",2025-07-10,13,22.6,7.2,0.4,26600,16.3,NA,NA
"CB4.4",2025-07-10,14,22.7,7.2,0.4,26900,16.5,NA,NA
"CB4.4",2025-07-10,15,22.7,7.2,0.4,28100,17.3,NA,NA
"CB4.4",2025-07-10,16,22.6,7.3,0.3,28400,17.5,NA,NA
"CB4.4",2025-07-10,17,22.6,7.3,0.5,28700,17.7,NA,NA
"CB4.4",2025-07-10,19,22.7,7.3,0.5,29000,17.9,NA,NA
"CB4.4",2025-07-10,21,22.7,7.3,0.6,29100,18,NA,NA
"CB4.4",2025-07-10,23,22.7,7.3,0.7,29100,18,NA,NA
"CB4.4",2025-07-10,25,22.7,7.3,1,29100,18,NA,NA
"CB4.4",2025-07-10,27,22.7,7.3,1,29100,18,NA,NA
"CB4.4",2025-07-10,28,22.7,7.3,1,29100,18,NA,NA
"CB4.3E",2025-07-09,0.5,28,8.2,7.2,17100,10,NA,"1.6"
"CB4.3E",2025-07-09,1,28,8.1,7.2,17200,10,NA,NA
"CB4.3E",2025-07-09,2,27.9,8.1,7.2,17200,10,NA,NA
"CB4.3E",2025-07-09,3,27.9,8.1,7.1,17200,10,NA,NA
"CB4.3E",2025-07-09,4,28,8.1,7,17200,10.1,NA,NA
"CB4.3E",2025-07-09,5,28,8.1,6.9,17200,10.1,NA,NA
"CB4.3E",2025-07-09,6,28,8.1,6.9,17200,10.1,NA,NA
"CB4.3E",2025-07-09,7,28,8.1,6.9,17200,10.1,NA,NA
"CB4.3E",2025-07-09,8,28,8.1,6.8,17300,10.2,NA,NA
"CB4.3E",2025-07-09,9,28,8.1,6.7,17300,10.2,NA,NA
"CB4.3E",2025-07-09,10,27.9,8,6.2,17400,10.4,NA,NA
"CB4.3E",2025-07-09,11,27.6,7.9,5.3,17800,10.6,NA,NA
"CB4.3E",2025-07-09,12,27.1,7.7,4.5,18400,10.9,NA,NA
"CB4.3E",2025-07-09,13,26.2,7.4,2.6,19500,11.6,NA,NA
"CB4.3E",2025-07-09,14,24.8,7.2,0.6,22200,13.3,NA,NA
"CB4.3E",2025-07-09,15,24.1,7.2,0.1,23300,13.9,NA,NA
"CB4.3E",2025-07-09,16,23.7,7.2,0,23300,14.1,NA,NA
"CB4.3E",2025-07-09,17,23.4,7.2,0,24400,16,NA,NA
"CB4.3E",2025-07-09,18,22.7,7.2,0,26000,16.1,NA,NA
"CB4.3E",2025-07-09,19,22.3,7.2,0,26700,16.4,NA,NA
"CB4.3C",2025-07-09,0.5,28.3,8.2,7.7,17400,10.2,NA,"1.5"
"CB4.3C",2025-07-09,1,28.3,8.2,7.7,17500,10.2,NA,NA
