habitat,color,volume,volumetotal,percent
Marginal,orange,0.0835,2.2508,3.70979207392927
Suitable,dodgerblue,1.519,2.2508,67.4871156921983
Tolerable,yellow,0.1288,2.2508,5.72240980984539
Unsuitable,black,0.5195,2.2508,23.080682424027
