habitat,color,volume,volumetotal,percent
Marginal,orange,0.157,2.2508,6.97529767193887
Suitable,dodgerblue,1.8278,2.2508,81.2066820685978
Tolerable,yellow,0.266,2.2508,11.8180202594633
