habitat,color,volume,volumetotal,percent
Marginal,orange,0.20381,2.2508,9.05500266571886
Suitable,dodgerblue,0.58642,2.2508,26.0538475208815
Tolerable,yellow,0.55865,2.2508,24.8200639772525
Unsuitable,black,0.90192,2.2508,40.0710858361472
