year,Habitat,volume,percent
2015,Marginal,0.5042725,7.59
2015,Suitable,4.0014875,60.22
2015,Tolerable,1.029295,15.49
2015,Unsuitable,1.10924,16.69
2016,Marginal,1.2538125,18.86
2016,Suitable,1.521645,22.89
2016,Tolerable,1.9921875,29.96
2016,Unsuitable,1.8810225,28.29
2017,Marginal,0.6603525,9.92
2017,Suitable,1.9721325,29.63
2017,Tolerable,2.70476,40.63
2017,Unsuitable,1.3191725,19.82
2018,Marginal,0.21355,3.21
2018,Suitable,5.147645,77.33
2018,Tolerable,0.74307,11.16
2018,Unsuitable,0.5524125,8.3
2019,Marginal,2.339965,35.16
2019,Suitable,0.25476,3.83
2019,Tolerable,1.9445275,29.22
2019,Unsuitable,2.1151075,31.79
2020,Marginal,1.28495,19.29
2020,Suitable,1.01444,15.23
2020,Tolerable,2.6077275,39.14
2020,Unsuitable,1.7549225,26.34
2023,Marginal,0.508585,8.92
2023,Suitable,2.38466,41.83
2023,Tolerable,1.8371175,32.22
2023,Unsuitable,0.97088,17.03
2024,Marginal,1.203715,22.02
2024,Suitable,1.800465,32.94
2024,Tolerable,1.2924875,23.65
2024,Unsuitable,1.1689425,21.39
2025,Marginal,1.3348875,23.4
2025,Suitable,0.4353575,7.63
2025,Tolerable,2.4694625,43.29
2025,Unsuitable,1.4647725,25.68
