"Segment","UTMX","UTMY","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","habitat","paramofinterest","heatcol","habitatword"
"POTOH",298000,4255000,0,250000,8.4,74.05,"298000 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4255500,0,250000,8.4,74.03,"298000 4255500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4256000,0,250000,8.4,74.01,"298000 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4256500,0,250000,8.4,73.99,"298000 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4257000,0,250000,8.39,73.97,"298000 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4257500,0,250000,8.38,73.96,"298000 4257500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4258000,0,250000,8.37,73.95,"298000 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4258500,0,250000,8.36,73.94,"298000 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4259000,0,250000,8.35,73.95,"298000 4259000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4259500,0,250000,8.33,73.96,"298000 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4260000,0,250000,8.31,73.98,"298000 4260000",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4260500,0,250000,8.28,74,"298000 4260500",0,3,3,"#1E90FF","Suitable"
"POTOH",298000,4261000,0,250000,8.26,74.04,"298000 4261000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4246500,0,250000,8.49,72.65,"298500 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4247000,0,250000,8.48,72.79,"298500 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4250500,0,250000,8.44,73.78,"298500 4250500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4251000,0,250000,8.43,73.89,"298500 4251000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4251500,0,250000,8.42,73.98,"298500 4251500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4252000,0,250000,8.41,74.05,"298500 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4252500,0,250000,8.41,74.1,"298500 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4253000,0,250000,8.4,74.14,"298500 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4253500,0,250000,8.4,74.15,"298500 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4254000,0,250000,8.4,74.15,"298500 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4254500,0,250000,8.4,74.14,"298500 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4255000,0,250000,8.4,74.11,"298500 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4255500,0,250000,8.4,74.09,"298500 4255500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4256000,0,250000,8.4,74.06,"298500 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4256500,0,250000,8.39,74.03,"298500 4256500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4257000,0,250000,8.39,74,"298500 4257000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4257500,0,250000,8.38,73.98,"298500 4257500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4258000,0,250000,8.37,73.96,"298500 4258000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4258500,0,250000,8.36,73.96,"298500 4258500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4259000,0,250000,8.34,73.96,"298500 4259000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4259500,0,250000,8.33,73.97,"298500 4259500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4260000,0,250000,8.3,73.99,"298500 4260000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4260500,0,250000,8.28,74.02,"298500 4260500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4261000,0,250000,8.25,74.05,"298500 4261000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4261500,0,250000,8.22,74.09,"298500 4261500",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4262000,0,250000,8.19,74.14,"298500 4262000",0,3,3,"#1E90FF","Suitable"
"POTOH",298500,4262500,0,250000,8.16,74.18,"298500 4262500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4246500,0,250000,8.5,72.58,"299000 4246500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4247000,0,250000,8.49,72.72,"299000 4247000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4248000,0,250000,8.51,73.05,"299000 4248000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4250000,0,250000,8.45,73.7,"299000 4250000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4250500,0,250000,8.43,73.84,"299000 4250500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4251000,0,250000,8.42,73.96,"299000 4251000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4251500,0,250000,8.41,74.06,"299000 4251500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4252000,0,250000,8.4,74.14,"299000 4252000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4252500,0,250000,8.4,74.19,"299000 4252500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4253000,0,250000,8.4,74.22,"299000 4253000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4253500,0,250000,8.39,74.23,"299000 4253500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4254000,0,250000,8.39,74.23,"299000 4254000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4254500,0,250000,8.39,74.21,"299000 4254500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4255000,0,250000,8.39,74.17,"299000 4255000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4255500,0,250000,8.4,74.14,"299000 4255500",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4256000,0,250000,8.39,74.1,"299000 4256000",0,3,3,"#1E90FF","Suitable"
"POTOH",299000,4256500,0,250000,8.39,74.06,"299000 4256500",0,3,3,"#1E90FF","Suitable"
