year,Habitat,volume,percent
2016,Suitable,2.2028,100
2017,Suitable,2.2508,100
2018,Marginal,0.19364,4.3
2018,Suitable,3.53955,78.63
2018,Tolerable,0.285,6.33
2018,Unsuitable,0.48341,10.74
2019,Suitable,2.2508,100
2020,Suitable,2.2508,100
2021,Suitable,2.2508,100
2022,Suitable,2.2508,100
2023,Suitable,2.2508,100
2024,Suitable,2.0728,100
2025,Suitable,2.2408,100
2026,Suitable,2.2408,100
