"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempC"
"CB5.3",2025-10-07,0.5,71.42,8.1,8.1,25900,15.8,NA,"1.8","MDmain",21.9
"CB5.3",2025-10-07,1,71.42,8.1,8.1,25900,15.8,NA,NA,"MDmain",21.9
"CB5.3",2025-10-07,2,71.6,8.1,8.1,25900,15.8,NA,NA,"MDmain",22
"CB5.3",2025-10-07,3,71.6,8.1,8.1,26500,16.3,NA,NA,"MDmain",22
"CB5.3",2025-10-07,4,71.78,8.1,8,27100,16.7,NA,NA,"MDmain",22.1
"CB5.3",2025-10-07,5,71.96,8.1,7.8,28400,17.5,NA,NA,"MDmain",22.2
"CB5.3",2025-10-07,6,72.14,8.1,7.8,28400,17.5,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,7,72.14,8.1,7.5,28800,17.8,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,8,71.96,8,6.9,29400,18.2,NA,NA,"MDmain",22.2
"CB5.3",2025-10-07,9,71.96,8,6.3,30000,18.6,NA,NA,"MDmain",22.2
"CB5.3",2025-10-07,10,71.96,7.9,6.1,31000,19.3,NA,NA,"MDmain",22.2
"CB5.3",2025-10-07,11,71.96,7.9,5.9,31500,19.6,NA,NA,"MDmain",22.2
"CB5.3",2025-10-07,12,72.14,7.9,5.8,31700,19.8,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,13,72.14,7.9,5.9,32100,20,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,14,72.14,7.9,5.9,32200,20.1,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,15,72.32,7.9,5.3,33800,21.2,NA,NA,"MDmain",22.4
"CB5.3",2025-10-07,16,72.32,7.8,5,34800,21.9,NA,NA,"MDmain",22.4
"CB5.3",2025-10-07,17,72.32,7.8,4.9,35400,22.4,NA,NA,"MDmain",22.4
"CB5.3",2025-10-07,19,72.32,7.8,4.9,35500,22.4,NA,NA,"MDmain",22.4
"CB5.3",2025-10-07,21,72.32,7.8,5,35500,22.4,NA,NA,"MDmain",22.4
"CB5.3",2025-10-07,23,72.14,7.9,5,35600,22.5,NA,NA,"MDmain",22.3
"CB5.3",2025-10-07,24,72.14,7.9,5,35700,22.5,NA,NA,"MDmain",22.3
"LE2.3",2025-10-07,0.5,71.6,8.1,8.2,24700,15.1,NA,"1.8","MDmain",22
"LE2.3",2025-10-07,1,71.6,8.1,8.2,24700,15.1,NA,NA,"MDmain",22
"LE2.3",2025-10-07,2,71.6,8.1,8.2,24700,15.1,NA,NA,"MDmain",22
"LE2.3",2025-10-07,3,71.6,8.1,8.2,24700,15.1,NA,NA,"MDmain",22
"LE2.3",2025-10-07,4,71.6,8.1,8.1,24700,15.1,NA,NA,"MDmain",22
"LE2.3",2025-10-07,5,72.32,8.1,7.7,27300,16.8,NA,NA,"MDmain",22.4
"LE2.3",2025-10-07,6,72.32,8.1,7.7,27400,16.8,NA,NA,"MDmain",22.4
"LE2.3",2025-10-07,7,72.32,8.1,7.6,27700,17,NA,NA,"MDmain",22.4
