"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
384000,4295000,"EASMH",0,250000,8.14,73.85,"384000 4295000",0,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384000,4295500,"EASMH",6.56168,250000,7.91,73.85,"384000 4295500",2,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384000,4296000,"EASMH",3.28084,250000,8.15,73.86,"384000 4296000",1,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384000,4296500,"EASMH",0,250000,8.17,73.86,"384000 4296500",0,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384000,4297000,"EASMH",8.2021,250000,7.69,73.87,"384000 4297000",2.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384000,4321000,"CB3MH",24.6063,1000000,2.92,74.15,"384000 4321000",7.5,"Dumping Ground",1,1,"#F9A100","Marginal"
384000,4322000,"CB3MH",24.6063,1000000,2.9,74.17,"384000 4322000",7.5,"Dumping Ground",1,1,"#F9A100","Marginal"
384000,4323000,"CB3MH",18.04462,1000000,5.11,73.8,"384000 4323000",5.5,"Dumping Ground",3,3,"#1E90FF","Suitable"
384000,4334000,"CB3MH",1.64042,1000000,5.79,72.76,"384000 4334000",0.5,"Nine Foot Knoll",3,3,"#1E90FF","Suitable"
384000,4340000,"CB3MH",1.64042,1000000,6.22,73.01,"384000 4340000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
384000,4341000,"CB3MH",3.28084,1000000,5.4,72.91,"384000 4341000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
384000,4342000,"CB2OH",1.64042,1000000,6.54,73.2,"384000 4342000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
384000,4343000,"CB2OH",0,1000000,7.41,74.03,"384000 4343000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
384500,4295000,"EASMH",4.92126,250000,8.02,73.84,"384500 4295000",1.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384500,4295500,"EASMH",1.64042,250000,8.13,73.85,"384500 4295500",0.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384500,4296000,"EASMH",3.28084,250000,8.12,73.85,"384500 4296000",1,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384500,4296500,"EASMH",1.64042,250000,8.14,73.85,"384500 4296500",0.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384500,4297000,"EASMH",3.28084,250000,8.12,73.85,"384500 4297000",1,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
384500,4300500,"EASMH",3.28084,250000,8,73.83,"384500 4300500",1,"Long Pt Ground",3,3,"#1E90FF","Suitable"
384500,4301000,"EASMH",8.2021,250000,7.53,73.83,"384500 4301000",2.5,"Long Pt Ground",3,3,"#1E90FF","Suitable"
384500,4301500,"EASMH",1.64042,250000,7.96,73.83,"384500 4301500",0.5,"Long Pt Ground",3,3,"#1E90FF","Suitable"
384500,4302000,"EASMH",0,250000,7.95,73.82,"384500 4302000",0,"Long Pt Ground",3,3,"#1E90FF","Suitable"
385000,4209000,"CB5MH_MD",1.64042,1000000,7.95,73.89,"385000 4209000",0.5,"The Triangle",3,3,"#1E90FF","Suitable"
385000,4230000,"CB5MH_MD",18.04462,1000000,3.86,75.43,"385000 4230000",5.5,"The Targets",2,2,"#FFFE00","Tolerable"
385000,4231000,"CB5MH_MD",18.04462,1000000,3.38,75.55,"385000 4231000",5.5,"The Targets",2,2,"#FFFE00","Tolerable"
385000,4251000,"CB4MH",3.28084,1000000,8.2,74.25,"385000 4251000",1,"Punch Island Ground",3,3,"#1E90FF","Suitable"
385000,4252000,"CB4MH",1.64042,1000000,8.21,74.26,"385000 4252000",0.5,"Punch Island Ground",3,3,"#1E90FF","Suitable"
385000,4295500,"EASMH",1.64042,250000,8.1,73.84,"385000 4295500",0.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
385000,4296000,"EASMH",0,250000,8.11,73.85,"385000 4296000",0,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
385000,4296500,"EASMH",4.92126,250000,8.01,73.84,"385000 4296500",1.5,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
385000,4301000,"EASMH",9.84252,250000,7.09,73.93,"385000 4301000",3,"Long Pt Ground",3,3,"#1E90FF","Suitable"
385000,4301500,"EASMH",0,250000,7.94,73.82,"385000 4301500",0,"Long Pt Ground",3,3,"#1E90FF","Suitable"
385000,4302000,"EASMH",6.56168,250000,7.68,73.77,"385000 4302000",2,"Long Pt Ground",3,3,"#1E90FF","Suitable"
385000,4331000,"CB3MH",3.28084,1000000,5.61,72.77,"385000 4331000",1,"Swan Pt Ground",3,3,"#1E90FF","Suitable"
385000,4332000,"CB3MH",4.92126,1000000,5.31,72.65,"385000 4332000",1.5,"Swan Pt Ground",3,3,"#1E90FF","Suitable"
385000,4333000,"CB3MH",9.84252,1000000,5.17,72.65,"385000 4333000",3,"Swan Pt Ground",3,3,"#1E90FF","Suitable"
385000,4340000,"CB3MH",0,1000000,6.28,73,"385000 4340000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
385000,4341000,"CB3MH",3.28084,1000000,5.39,72.85,"385000 4341000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
385000,4342000,"CB2OH",8.2021,1000000,5.15,72.62,"385000 4342000",2.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
385000,4343000,"CB2OH",1.64042,1000000,6.53,73.2,"385000 4343000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
385000,4344000,"CB2OH",3.28084,1000000,5.24,73,"385000 4344000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
385500,4296000,"EASMH",3.28084,250000,8.06,73.84,"385500 4296000",1,"Wade Pt Ground",3,3,"#1E90FF","Suitable"
385500,4302000,"EASMH",11.48294,250000,5.97,74.24,"385500 4302000",3.5,"Long Pt Ground",3,3,"#1E90FF","Suitable"
386000,4209000,"CB5MH_MD",8.2021,1000000,8.05,73.78,"386000 4209000",2.5,"The Triangle",3,3,"#1E90FF","Suitable"
386000,4210000,"CB5MH_MD",0,1000000,7.91,73.87,"386000 4210000",0,"The Triangle",3,3,"#1E90FF","Suitable"
386000,4231000,"CB5MH_MD",19.68504,1000000,3.14,75.44,"386000 4231000",6,"The Targets",2,2,"#FFFE00","Tolerable"
386000,4331000,"CB3MH",22.96588,1000000,3.85,73.8,"386000 4331000",7,"Swan Pt Ground",2,2,"#FFFE00","Tolerable"
386000,4332000,"CB3MH",14.76378,1000000,4.71,72.89,"386000 4332000",4.5,"Swan Pt Ground",3,3,"#1E90FF","Suitable"
386000,4333000,"CB3MH",13.12336,1000000,4.86,72.8,"386000 4333000",4,"Swan Pt Ground",3,3,"#1E90FF","Suitable"
386000,4340000,"CB3MH",0,1000000,6.18,72.93,"386000 4340000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
386000,4341000,"CB3MH",1.64042,1000000,6.1,72.97,"386000 4341000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
386000,4342000,"CB2OH",3.28084,1000000,5.32,72.8,"386000 4342000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
386000,4343000,"CB2OH",4.92126,1000000,5.3,72.51,"386000 4343000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
386000,4344000,"CB2OH",0,1000000,6.99,73.74,"386000 4344000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
387000,4208000,"CB5MH_MD",13.12336,1000000,7.59,74.17,"387000 4208000",4,"The Triangle",3,3,"#1E90FF","Suitable"
387000,4209000,"CB5MH_MD",6.56168,1000000,7.98,73.84,"387000 4209000",2,"The Triangle",3,3,"#1E90FF","Suitable"
387000,4210000,"CB5MH_MD",1.64042,1000000,7.88,73.86,"387000 4210000",0.5,"The Triangle",3,3,"#1E90FF","Suitable"
387000,4211000,"CB5MH_MD",8.2021,1000000,7.95,73.77,"387000 4211000",2.5,"The Triangle",3,3,"#1E90FF","Suitable"
387000,4323000,"CB3MH",4.92126,1000000,5.73,72.84,"387000 4323000",1.5,"Love Pt Ground",3,3,"#1E90FF","Suitable"
387000,4340000,"CB3MH",3.28084,1000000,5.41,72.72,"387000 4340000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
387000,4341000,"CB3MH",4.92126,1000000,5.28,72.58,"387000 4341000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
387000,4342000,"CB2OH",0,1000000,6.45,73.31,"387000 4342000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
387000,4343000,"CB2OH",4.92126,1000000,5.28,72.52,"387000 4343000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
387000,4344000,"CB2OH",6.56168,1000000,5.15,72.64,"387000 4344000",2,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
388000,4208000,"CB5MH_MD",0,1000000,7.85,73.87,"388000 4208000",0,"The Triangle",3,3,"#1E90FF","Suitable"
388000,4209000,"CB5MH_MD",6.56168,1000000,7.94,73.82,"388000 4209000",2,"The Triangle",3,3,"#1E90FF","Suitable"
388000,4210000,"CB5MH_MD",4.92126,1000000,7.85,73.81,"388000 4210000",1.5,"The Triangle",3,3,"#1E90FF","Suitable"
388000,4211000,"CB5MH_MD",0,1000000,7.85,73.78,"388000 4211000",0,"The Triangle",3,3,"#1E90FF","Suitable"
388000,4212000,"CB5MH_MD",14.76378,1000000,7.07,74.51,"388000 4212000",4.5,"The Triangle",3,3,"#1E90FF","Suitable"
388000,4323000,"CB3MH",1.64042,1000000,6.12,72.77,"388000 4323000",0.5,"Love Pt Ground",3,3,"#1E90FF","Suitable"
388000,4324000,"CB3MH",0,1000000,6.18,72.73,"388000 4324000",0,"Love Pt Ground",3,3,"#1E90FF","Suitable"
388000,4340000,"CB3MH",0,1000000,6.03,72.83,"388000 4340000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
388000,4341000,"CB3MH",1.64042,1000000,5.89,72.82,"388000 4341000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
388000,4342000,"CB2OH",3.28084,1000000,5.31,72.7,"388000 4342000",1,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
388000,4343000,"CB2OH",0,1000000,6.26,73.22,"388000 4343000",0,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
388000,4344000,"CB2OH",4.92126,1000000,5.23,72.53,"388000 4344000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
389000,4207000,"CB5MH_MD",9.84252,1000000,7.81,73.8,"389000 4207000",3,"The Triangle",3,3,"#1E90FF","Suitable"
389000,4208000,"CB5MH_MD",4.92126,1000000,7.84,73.81,"389000 4208000",1.5,"The Triangle",3,3,"#1E90FF","Suitable"
389000,4324000,"CB3MH",3.28084,1000000,6.08,72.8,"389000 4324000",1,"Love Pt Ground",3,3,"#1E90FF","Suitable"
389000,4325000,"CB3MH",4.92126,1000000,5.96,72.74,"389000 4325000",1.5,"Love Pt Ground",3,3,"#1E90FF","Suitable"
389000,4336000,"CB3MH",3.28084,1000000,5.48,72.62,"389000 4336000",1,"Hodges Bar",3,3,"#1E90FF","Suitable"
389000,4337000,"CB3MH",14.76378,1000000,4.8,72.76,"389000 4337000",4.5,"Hodges Bar",3,3,"#1E90FF","Suitable"
389000,4341000,"CB3MH",4.92126,1000000,5.25,72.58,"389000 4341000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
389000,4342000,"CB2OH",4.92126,1000000,5.24,72.53,"389000 4342000",1.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
389000,4343000,"CB2OH",1.64042,1000000,5.74,72.76,"389000 4343000",0.5,"Tea Kettle Shoals",3,3,"#1E90FF","Suitable"
390000,4234000,"CB5MH_MD",19.68504,1000000,2.57,75.25,"390000 4234000",6,"Hooper Island Light",1,1,"#F9A100","Marginal"
390000,4235000,"CB5MH_MD",6.56168,1000000,7.72,74.86,"390000 4235000",2,"Hooper Island Light",3,3,"#1E90FF","Suitable"
390000,4236000,"CB5MH_MD",0,1000000,7.94,74.74,"390000 4236000",0,"Hooper Island Light",3,3,"#1E90FF","Suitable"
390000,4237000,"CB5MH_MD",8.2021,1000000,7.72,74.89,"390000 4237000",2.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
390000,4330000,"CB3MH",1.64042,1000000,5.99,72.7,"390000 4330000",0.5,"Swan Pt Bar",3,3,"#1E90FF","Suitable"
390000,4331000,"CB3MH",1.64042,1000000,5.84,72.68,"390000 4331000",0.5,"Swan Pt Bar",3,3,"#1E90FF","Suitable"
390000,4332000,"CB3MH",0,1000000,5.94,72.66,"390000 4332000",0,"Swan Pt Bar",3,3,"#1E90FF","Suitable"
391000,4234000,"CB5MH_MD",4.92126,1000000,7.72,74.7,"391000 4234000",1.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
391000,4235000,"CB5MH_MD",3.28084,1000000,7.79,74.74,"391000 4235000",1,"Hooper Island Light",3,3,"#1E90FF","Suitable"
391000,4236000,"CB5MH_MD",1.64042,1000000,7.89,74.73,"391000 4236000",0.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
391000,4237000,"CB5MH_MD",8.2021,1000000,7.7,74.88,"391000 4237000",2.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
391000,4329000,"CB3MH",0,1000000,6.24,72.66,"391000 4329000",0,"Swan Pt Bar",3,3,"#1E90FF","Suitable"
391000,4340000,"CB3MH",3.28084,1000000,5.32,72.62,"391000 4340000",1,"Gales Shoals",3,3,"#1E90FF","Suitable"
391000,4341000,"CB2OH",0,1000000,5.71,72.72,"391000 4341000",0,"Gales Shoals",3,3,"#1E90FF","Suitable"
392000,4234000,"CB5MH_MD",4.92126,1000000,7.71,74.66,"392000 4234000",1.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
392000,4235000,"CB5MH_MD",8.2021,1000000,7.57,74.88,"392000 4235000",2.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
392000,4236000,"CB5MH_MD",1.64042,1000000,7.87,74.71,"392000 4236000",0.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
392000,4324000,"CB3MH",0,1000000,6.66,72.56,"392000 4324000",0,"Hickory Thicket",3,3,"#1E90FF","Suitable"
392000,4325000,"CB3MH",3.28084,1000000,6.36,72.73,"392000 4325000",1,"Hickory Thicket",3,3,"#1E90FF","Suitable"
392000,4326000,"CB3MH",3.28084,1000000,6.26,72.72,"392000 4326000",1,"Hickory Thicket",3,3,"#1E90FF","Suitable"
392000,4327000,"CB3MH",4.92126,1000000,6.03,72.69,"392000 4327000",1.5,"Hickory Thicket",3,3,"#1E90FF","Suitable"
393000,4235000,"CB5MH_MD",1.64042,1000000,7.8,74.68,"393000 4235000",0.5,"Hooper Island Light",3,3,"#1E90FF","Suitable"
394000,4217000,"CB5MH_MD",34.44882,1000000,2.1,74.49,"394000 4217000",10.5,"Northwest Middle Grounds",1,1,"#F9A100","Marginal"
394000,4218000,"CB5MH_MD",1.64042,1000000,7.47,73.55,"394000 4218000",0.5,"Northwest Middle Grounds",3,3,"#1E90FF","Suitable"
395000,4217000,"CB5MH_MD",4.92126,1000000,7.48,73.47,"395000 4217000",1.5,"Northwest Middle Grounds",3,3,"#1E90FF","Suitable"
395000,4218000,"CB5MH_MD",8.2021,1000000,7.25,73.62,"395000 4218000",2.5,"Northwest Middle Grounds",3,3,"#1E90FF","Suitable"
395000,4219000,"CB5MH_MD",0,1000000,7.46,73.45,"395000 4219000",0,"Northwest Middle Grounds",3,3,"#1E90FF","Suitable"
396000,4211000,"CB5MH_MD",8.2021,1000000,7.59,73.71,"396000 4211000",2.5,"Middle Grounds",3,3,"#1E90FF","Suitable"
396000,4218000,"CB5MH_MD",9.84252,1000000,7.21,73.63,"396000 4218000",3,"Northwest Middle Grounds",3,3,"#1E90FF","Suitable"
396000,4315500,"CHSMH",1.64042,250000,7.57,72.51,"396000 4315500",0.5,"Black Beard's Bluff",3,3,"#1E90FF","Suitable"
