X,colout,Sdepth,UTMX,UTMY
48240,7.76,0.5,403000,4103000
48241,7.75,1,403000,4103000
48242,7.68,1.5,403000,4103000
48243,7.5,2,403000,4103000
48244,7.25,2.5,403000,4103000
48245,7.15,3,403000,4103000
48246,7.2,3.5,403000,4103000
48247,7.08,4,403000,4103000
48248,6.97,4.5,403000,4103000
48249,6.59,5,403000,4103000
48250,6.44,5.5,403000,4103000
48251,6.4,6,403000,4103000
48252,6.63,6.5,403000,4103000
48253,6.64,7,403000,4103000
48120,7.81,0,402000,4104000
48123,7.74,1.5,402000,4104000
48126,7.06,3,402000,4104000
48129,6.91,4.5,402000,4104000
48132,6.39,6,402000,4104000
48136,7.76,1,403000,4104000
48139,7.2,2.5,403000,4104000
48142,7.06,4,403000,4104000
48145,6.43,5.5,403000,4104000
48200,7.57,0.5,412000,4104000
48203,7.36,2,412000,4104000
48206,7.31,3.5,412000,4104000
48209,6.57,5,412000,4104000
48212,6.63,6.5,412000,4104000
48064,7.61,0,412000,4105000
48065,7.57,0.5,412000,4105000
48066,7.48,1,412000,4105000
48067,7.41,1.5,412000,4105000
48068,7.36,2,412000,4105000
48069,7.32,2.5,412000,4105000
48070,7.3,3,412000,4105000
48071,7.3,3.5,412000,4105000
48072,7.28,4,412000,4105000
48073,7.27,4.5,412000,4105000
48074,6.57,5,412000,4105000
48075,6.45,5.5,412000,4105000
48076,6.45,6,412000,4105000
48077,6.63,6.5,412000,4105000
48078,6.64,7,412000,4105000
48079,6.68,7.5,412000,4105000
48080,6.7,8,412000,4105000
48081,6.7,8.5,412000,4105000
48082,6.7,9,412000,4105000
48083,6.7,9.5,412000,4105000
47824,7.86,0,400000,4106000
47826,7.87,1,400000,4106000
47828,7.51,2,400000,4106000
47830,6.91,3,400000,4106000
47832,7.01,4,400000,4106000
47834,6.57,5,400000,4106000
47836,6.38,6,400000,4106000
47839,7.85,0.5,401000,4106000
47841,7.79,1.5,401000,4106000
47843,7.09,2.5,401000,4106000
47845,7.02,3.5,401000,4106000
47847,6.86,4.5,401000,4106000
47849,6.4,5.5,401000,4106000
47851,6.63,6.5,401000,4106000
47683,7.87,0,400000,4107000
47684,7.87,0.5,400000,4107000
47685,7.88,1,400000,4107000
47686,7.82,1.5,400000,4107000
47687,7.51,2,400000,4107000
47688,7.06,2.5,400000,4107000
47689,6.87,3,400000,4107000
47690,6.98,3.5,400000,4107000
47691,7.01,4,400000,4107000
47692,6.84,4.5,400000,4107000
47693,6.57,5,400000,4107000
47694,6.39,5.5,400000,4107000
47695,6.38,6,400000,4107000
47696,6.63,6.5,400000,4107000
47541,7.88,0,400000,4108000
47542,7.88,0.5,400000,4108000
47543,7.89,1,400000,4108000
47544,7.83,1.5,400000,4108000
47545,7.51,2,400000,4108000
47546,7.05,2.5,400000,4108000
47547,6.86,3,400000,4108000
47548,6.97,3.5,400000,4108000
47549,7.01,4,400000,4108000
47550,6.84,4.5,400000,4108000
47551,6.57,5,400000,4108000
47552,6.39,5.5,400000,4108000
47553,6.38,6,400000,4108000
47554,6.63,6.5,400000,4108000
47371,7.87,0.5,398000,4109000
47373,7.82,1.5,398000,4109000
47375,7.07,2.5,398000,4109000
47377,6.99,3.5,398000,4109000
47379,6.84,4.5,398000,4109000
47381,6.39,5.5,398000,4109000
47384,7.87,0.5,399000,4109000
47386,7.82,1.5,399000,4109000
47388,7.05,2.5,399000,4109000
47390,6.97,3.5,399000,4109000
47392,6.84,4.5,399000,4109000
47394,6.39,5.5,399000,4109000
47246,7.86,0,399000,4110000
47247,7.86,0.5,399000,4110000
47248,7.86,1,399000,4110000
47249,7.8,1.5,399000,4110000
47250,7.5,2,399000,4110000
