"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
400200,4235000,"HNGMH",1.64042,10000,7.08,82.2,"400200 4235000",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400200,4235100,"HNGMH",1.64042,10000,7.09,82.2,"400200 4235100",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400200,4235200,"HNGMH",4.92126,10000,6.8,82.1,"400200 4235200",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400200,4235300,"HNGMH",8.2021,10000,6.45,82,"400200 4235300",2.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4234600,"HNGMH",0,10000,7.13,82.3,"400300 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4234700,"HNGMH",1.64042,10000,7.07,82.2,"400300 4234700",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4234800,"HNGMH",4.92126,10000,6.78,82.1,"400300 4234800",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4234900,"HNGMH",3.28084,10000,6.94,82.2,"400300 4234900",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4235000,"HNGMH",0,10000,7.15,82.3,"400300 4235000",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4235100,"HNGMH",3.28084,10000,6.95,82.2,"400300 4235100",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4235200,"HNGMH",1.64042,10000,7.09,82.2,"400300 4235200",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400300,4235300,"HNGMH",1.64042,10000,7.09,82.2,"400300 4235300",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4234500,"HNGMH",0,10000,7.12,82.3,"400400 4234500",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4234600,"HNGMH",0,10000,7.13,82.3,"400400 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4234700,"HNGMH",3.28084,10000,6.93,82.2,"400400 4234700",1,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4234800,"HNGMH",4.92126,10000,6.78,82.1,"400400 4234800",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4234900,"HNGMH",4.92126,10000,6.78,82.1,"400400 4234900",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4235000,"HNGMH",4.92126,10000,6.79,82.1,"400400 4235000",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4235100,"HNGMH",0,10000,7.15,82.3,"400400 4235100",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400400,4235200,"HNGMH",6.56168,10000,6.65,82,"400400 4235200",2,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4234500,"HNGMH",1.64042,10000,7.05,82.2,"400500 4234500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
400500,4234600,"HNGMH",0,10000,7.13,82.3,"400500 4234600",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
