x,y,z,river
320000,42750000,5,Potomac
4350000,4090000,5,Atlantic
4230000,4390000,5,Susequehanna
3480000,4140000,5,York
330000,4100000,5,James
2980000,4195000,5,Rappanhanock
4250000,4276685,5,Choptank
410183,4214363,5,Pocomoke
