UTMX,UTMY
377000,4331000
378000,4331000
379000,4331000
380000,4331000
381000,4331000
382000,4331000
383000,4331000
384000,4331000
385000,4331000
386000,4331000
387000,4331000
388000,4331000
389000,4331000
390000,4331000
391000,4331000
392000,4331000
377000,4330000
378000,4330000
379000,4330000
380000,4330000
381000,4330000
382000,4330000
383000,4330000
384000,4330000
385000,4330000
386000,4330000
387000,4330000
388000,4330000
389000,4330000
390000,4330000
391000,4330000
392000,4330000
377000,4329000
378000,4329000
379000,4329000
380000,4329000
381000,4329000
382000,4329000
383000,4329000
384000,4329000
385000,4329000
386000,4329000
387000,4329000
388000,4329000
389000,4329000
390000,4329000
391000,4329000
392000,4329000
377000,4328000
378000,4328000
379000,4328000
380000,4328000
381000,4328000
382000,4328000
383000,4328000
384000,4328000
385000,4328000
386000,4328000
387000,4328000
388000,4328000
389000,4328000
390000,4328000
391000,4328000
392000,4328000
393000,4328000
378000,4327000
379000,4327000
380000,4327000
381000,4327000
382000,4327000
383000,4327000
384000,4327000
385000,4327000
386000,4327000
387000,4327000
388000,4327000
389000,4327000
390000,4327000
391000,4327000
392000,4327000
393000,4327000
377000,4326000
378000,4326000
379000,4326000
380000,4326000
381000,4326000
382000,4326000
383000,4326000
384000,4326000
385000,4326000
386000,4326000
387000,4326000
388000,4326000
389000,4326000
390000,4326000
391000,4326000
392000,4326000
393000,4326000
378000,4325000
379000,4325000
380000,4325000
381000,4325000
382000,4325000
383000,4325000
384000,4325000
385000,4325000
386000,4325000
387000,4325000
388000,4325000
389000,4325000
390000,4325000
391000,4325000
392000,4325000
393000,4325000
378000,4324000
379000,4324000
380000,4324000
381000,4324000
382000,4324000
383000,4324000
384000,4324000
385000,4324000
386000,4324000
387000,4324000
388000,4324000
389000,4324000
390000,4324000
391000,4324000
392000,4324000
393000,4324000
378000,4323000
379000,4323000
380000,4323000
381000,4323000
382000,4323000
383000,4323000
384000,4323000
385000,4323000
386000,4323000
387000,4323000
388000,4323000
389000,4323000
390000,4323000
391000,4323000
392000,4323000
378000,4322000
379000,4322000
380000,4322000
381000,4322000
382000,4322000
383000,4322000
384000,4322000
385000,4322000
386000,4322000
388000,4322000
389000,4322000
390000,4322000
391000,4322000
392000,4322000
379000,4321000
380000,4321000
381000,4321000
382000,4321000
383000,4321000
384000,4321000
385000,4321000
388000,4321000
389000,4321000
390000,4321000
391000,4321000
392000,4321000
380000,4320000
381000,4320000
382000,4320000
383000,4320000
384000,4320000
385000,4320000
388000,4320000
389000,4320000
380000,4319000
381000,4319000
382000,4319000
383000,4319000
384000,4319000
385000,4319000
378000,4318000
379000,4318000
380000,4318000
381000,4318000
382000,4318000
383000,4318000
384000,4318000
385000,4318000
380000,4317000
381000,4317000
382000,4317000
383000,4317000
384000,4317000
385000,4317000
374000,4318000
376000,4318000
375000,4317000
376000,4317000
377000,4317000
378000,4317000
379000,4317000
375000,4316000
376000,4316000
377000,4316000
378000,4316000
379000,4316000
380000,4316000
381000,4316000
382000,4316000
383000,4316000
384000,4316000
375000,4315000
376000,4315000
377000,4315000
378000,4315000
379000,4315000
380000,4315000
381000,4315000
382000,4315000
383000,4315000
375000,4314000
376000,4314000
377000,4314000
378000,4314000
379000,4314000
380000,4314000
381000,4314000
382000,4314000
383000,4314000
374000,4313000
375000,4313000
376000,4313000
377000,4313000
378000,4313000
379000,4313000
380000,4313000
381000,4313000
382000,4313000
374000,4312000
375000,4312000
376000,4312000
377000,4312000
378000,4312000
379000,4312000
380000,4312000
381000,4312000
382000,4312000
375000,4311000
376000,4311000
377000,4311000
378000,4311000
379000,4311000
380000,4311000
381000,4311000
374000,4310000
375000,4310000
376000,4310000
377000,4310000
378000,4310000
379000,4310000
380000,4310000
381000,4310000
374000,4309000
375000,4309000
376000,4309000
377000,4309000
378000,4309000
379000,4309000
380000,4309000
381000,4309000
373000,4308000
374000,4308000
375000,4308000
376000,4308000
377000,4308000
378000,4308000
379000,4308000
380000,4308000
381000,4308000
373000,4307000
374000,4307000
375000,4307000
376000,4307000
377000,4307000
378000,4307000
379000,4307000
380000,4307000
381000,4307000
373000,4306000
374000,4306000
375000,4306000
376000,4306000
377000,4306000
378000,4306000
379000,4306000
380000,4306000
381000,4306000
372000,4305000
373000,4305000
374000,4305000
375000,4305000
376000,4305000
377000,4305000
378000,4305000
379000,4305000
380000,4305000
381000,4305000
372000,4304000
373000,4304000
374000,4304000
375000,4304000
376000,4304000
377000,4304000
378000,4304000
379000,4304000
380000,4304000
381000,4304000
372000,4303000
373000,4303000
374000,4303000
375000,4303000
376000,4303000
377000,4303000
378000,4303000
379000,4303000
380000,4303000
381000,4303000
371000,4302000
372000,4302000
373000,4302000
374000,4302000
375000,4302000
376000,4302000
377000,4302000
378000,4302000
379000,4302000
380000,4302000
371000,4301000
372000,4301000
373000,4301000
374000,4301000
375000,4301000
376000,4301000
377000,4301000
378000,4301000
379000,4301000
380000,4301000
371000,4300000
372000,4300000
373000,4300000
374000,4300000
375000,4300000
376000,4300000
377000,4300000
378000,4300000
379000,4300000
380000,4300000
371000,4299000
372000,4299000
373000,4299000
374000,4299000
375000,4299000
376000,4299000
377000,4299000
378000,4299000
379000,4299000
380000,4299000
381000,4299000
371000,4298000
372000,4298000
373000,4298000
374000,4298000
375000,4298000
376000,4298000
377000,4298000
378000,4298000
379000,4298000
380000,4298000
381000,4298000
370000,4297000
371000,4297000
372000,4297000
373000,4297000
374000,4297000
375000,4297000
376000,4297000
377000,4297000
378000,4297000
379000,4297000
380000,4297000
381000,4297000
370000,4296000
371000,4296000
372000,4296000
373000,4296000
374000,4296000
375000,4296000
376000,4296000
377000,4296000
378000,4296000
379000,4296000
380000,4296000
381000,4296000
382000,4296000
368000,4295000
369000,4295000
370000,4295000
371000,4295000
372000,4295000
373000,4295000
374000,4295000
375000,4295000
376000,4295000
377000,4295000
378000,4295000
379000,4295000
380000,4295000
381000,4295000
382000,4295000
368000,4294000
369000,4294000
370000,4294000
371000,4294000
372000,4294000
373000,4294000
374000,4294000
375000,4294000
376000,4294000
377000,4294000
378000,4294000
379000,4294000
380000,4294000
381000,4294000
382000,4294000
367000,4293000
368000,4293000
369000,4293000
370000,4293000
371000,4293000
372000,4293000
373000,4293000
374000,4293000
375000,4293000
376000,4293000
377000,4293000
378000,4293000
379000,4293000
380000,4293000
381000,4293000
382000,4293000
365000,4292000
366000,4292000
367000,4292000
368000,4292000
369000,4292000
370000,4292000
371000,4292000
372000,4292000
373000,4292000
374000,4292000
375000,4292000
376000,4292000
377000,4292000
378000,4292000
379000,4292000
382000,4292000
383000,4292000
365000,4291000
366000,4291000
367000,4291000
368000,4291000
369000,4291000
370000,4291000
371000,4291000
372000,4291000
373000,4291000
374000,4291000
375000,4291000
376000,4291000
377000,4291000
378000,4291000
379000,4291000
381000,4291000
382000,4291000
383000,4291000
366000,4290000
367000,4290000
368000,4290000
369000,4290000
370000,4290000
371000,4290000
372000,4290000
373000,4290000
374000,4290000
375000,4290000
376000,4290000
377000,4290000
378000,4290000
379000,4290000
380000,4290000
382000,4290000
383000,4290000
366000,4289000
367000,4289000
368000,4289000
369000,4289000
370000,4289000
371000,4289000
372000,4289000
373000,4289000
374000,4289000
375000,4289000
376000,4289000
377000,4289000
378000,4289000
379000,4289000
380000,4289000
381000,4289000
382000,4289000
383000,4289000
366000,4288000
367000,4288000
368000,4288000
369000,4288000
370000,4288000
371000,4288000
372000,4288000
373000,4288000
374000,4288000
375000,4288000
376000,4288000
377000,4288000
378000,4288000
379000,4288000
380000,4288000
381000,4288000
382000,4288000
383000,4288000
384000,4288000
368000,4287000
369000,4287000
370000,4287000
371000,4287000
372000,4287000
373000,4287000
374000,4287000
375000,4287000
376000,4287000
377000,4287000
378000,4287000
379000,4287000
380000,4287000
381000,4287000
382000,4287000
383000,4287000
368000,4286000
369000,4286000
370000,4286000
371000,4286000
372000,4286000
373000,4286000
374000,4286000
375000,4286000
376000,4286000
377000,4286000
378000,4286000
379000,4286000
380000,4286000
381000,4286000
382000,4286000
383000,4286000
367000,4285000
368000,4285000
369000,4285000
370000,4285000
371000,4285000
372000,4285000
373000,4285000
374000,4285000
375000,4285000
376000,4285000
377000,4285000
378000,4285000
379000,4285000
380000,4285000
381000,4285000
382000,4285000
367000,4284000
368000,4284000
369000,4284000
370000,4284000
371000,4284000
372000,4284000
373000,4284000
374000,4284000
375000,4284000
376000,4284000
377000,4284000
378000,4284000
379000,4284000
380000,4284000
381000,4284000
382000,4284000
368000,4283000
369000,4283000
370000,4283000
371000,4283000
372000,4283000
373000,4283000
374000,4283000
375000,4283000
376000,4283000
377000,4283000
378000,4283000
379000,4283000
380000,4283000
381000,4283000
382000,4283000
367000,4282000
368000,4282000
369000,4282000
370000,4282000
371000,4282000
372000,4282000
373000,4282000
374000,4282000
375000,4282000
376000,4282000
377000,4282000
378000,4282000
379000,4282000
380000,4282000
381000,4282000
382000,4282000
368000,4281000
369000,4281000
370000,4281000
371000,4281000
372000,4281000
373000,4281000
374000,4281000
375000,4281000
376000,4281000
377000,4281000
378000,4281000
379000,4281000
380000,4281000
381000,4281000
382000,4281000
383000,4281000
368000,4280000
369000,4280000
370000,4280000
371000,4280000
372000,4280000
373000,4280000
374000,4280000
375000,4280000
376000,4280000
377000,4280000
378000,4280000
379000,4280000
380000,4280000
381000,4280000
382000,4280000
383000,4280000
368000,4279000
369000,4279000
370000,4279000
371000,4279000
372000,4279000
373000,4279000
374000,4279000
375000,4279000
376000,4279000
377000,4279000
378000,4279000
379000,4279000
380000,4279000
381000,4279000
382000,4279000
383000,4279000
368000,4278000
369000,4278000
370000,4278000
371000,4278000
372000,4278000
373000,4278000
374000,4278000
375000,4278000
376000,4278000
377000,4278000
378000,4278000
379000,4278000
380000,4278000
381000,4278000
382000,4278000
383000,4278000
369000,4277000
370000,4277000
371000,4277000
372000,4277000
373000,4277000
374000,4277000
375000,4277000
376000,4277000
377000,4277000
378000,4277000
379000,4277000
380000,4277000
381000,4277000
382000,4277000
383000,4277000
369000,4276000
370000,4276000
371000,4276000
372000,4276000
373000,4276000
374000,4276000
375000,4276000
376000,4276000
377000,4276000
378000,4276000
379000,4276000
380000,4276000
381000,4276000
382000,4276000
383000,4276000
369000,4275000
370000,4275000
371000,4275000
372000,4275000
373000,4275000
374000,4275000
375000,4275000
376000,4275000
377000,4275000
378000,4275000
379000,4275000
380000,4275000
381000,4275000
382000,4275000
383000,4275000
369000,4274000
370000,4274000
371000,4274000
372000,4274000
373000,4274000
374000,4274000
375000,4274000
376000,4274000
377000,4274000
378000,4274000
379000,4274000
380000,4274000
381000,4274000
382000,4274000
383000,4274000
369000,4273000
370000,4273000
371000,4273000
372000,4273000
373000,4273000
374000,4273000
375000,4273000
376000,4273000
377000,4273000
378000,4273000
379000,4273000
380000,4273000
381000,4273000
382000,4273000
383000,4273000
368000,4272000
369000,4272000
370000,4272000
371000,4272000
372000,4272000
373000,4272000
374000,4272000
375000,4272000
376000,4272000
377000,4272000
378000,4272000
379000,4272000
380000,4272000
381000,4272000
382000,4272000
383000,4272000
368000,4271000
369000,4271000
370000,4271000
371000,4271000
372000,4271000
373000,4271000
374000,4271000
375000,4271000
376000,4271000
377000,4271000
378000,4271000
379000,4271000
380000,4271000
381000,4271000
382000,4271000
383000,4271000
368000,4270000
369000,4270000
370000,4270000
371000,4270000
372000,4270000
373000,4270000
374000,4270000
375000,4270000
376000,4270000
377000,4270000
378000,4270000
379000,4270000
380000,4270000
381000,4270000
382000,4270000
383000,4270000
368000,4269000
369000,4269000
370000,4269000
371000,4269000
372000,4269000
373000,4269000
374000,4269000
375000,4269000
376000,4269000
377000,4269000
378000,4269000
379000,4269000
380000,4269000
381000,4269000
382000,4269000
383000,4269000
368000,4268000
369000,4268000
370000,4268000
371000,4268000
372000,4268000
373000,4268000
374000,4268000
375000,4268000
376000,4268000
377000,4268000
378000,4268000
379000,4268000
380000,4268000
381000,4268000
382000,4268000
383000,4268000
368000,4267000
369000,4267000
370000,4267000
371000,4267000
372000,4267000
373000,4267000
374000,4267000
375000,4267000
376000,4267000
377000,4267000
378000,4267000
379000,4267000
380000,4267000
381000,4267000
382000,4267000
383000,4267000
368000,4266000
369000,4266000
370000,4266000
371000,4266000
372000,4266000
373000,4266000
374000,4266000
375000,4266000
376000,4266000
377000,4266000
378000,4266000
379000,4266000
380000,4266000
381000,4266000
382000,4266000
383000,4266000
369000,4265000
370000,4265000
371000,4265000
372000,4265000
373000,4265000
374000,4265000
375000,4265000
376000,4265000
377000,4265000
378000,4265000
379000,4265000
380000,4265000
381000,4265000
382000,4265000
369000,4264000
370000,4264000
371000,4264000
372000,4264000
373000,4264000
374000,4264000
375000,4264000
376000,4264000
377000,4264000
378000,4264000
379000,4264000
380000,4264000
381000,4264000
382000,4264000
369000,4263000
370000,4263000
371000,4263000
372000,4263000
373000,4263000
374000,4263000
375000,4263000
376000,4263000
377000,4263000
378000,4263000
379000,4263000
380000,4263000
381000,4263000
382000,4263000
370000,4262000
371000,4262000
372000,4262000
373000,4262000
374000,4262000
375000,4262000
376000,4262000
377000,4262000
378000,4262000
379000,4262000
380000,4262000
381000,4262000
382000,4262000
383000,4262000
370000,4261000
371000,4261000
372000,4261000
373000,4261000
374000,4261000
375000,4261000
376000,4261000
377000,4261000
378000,4261000
379000,4261000
380000,4261000
381000,4261000
382000,4261000
383000,4261000
371000,4260000
372000,4260000
373000,4260000
374000,4260000
375000,4260000
376000,4260000
377000,4260000
378000,4260000
379000,4260000
380000,4260000
381000,4260000
382000,4260000
383000,4260000
372000,4259000
373000,4259000
374000,4259000
375000,4259000
376000,4259000
377000,4259000
378000,4259000
379000,4259000
380000,4259000
381000,4259000
382000,4259000
383000,4259000
373000,4258000
374000,4258000
375000,4258000
376000,4258000
377000,4258000
378000,4258000
379000,4258000
380000,4258000
381000,4258000
382000,4258000
383000,4258000
384000,4258000
373000,4257000
374000,4257000
375000,4257000
376000,4257000
377000,4257000
378000,4257000
379000,4257000
380000,4257000
381000,4257000
382000,4257000
383000,4257000
384000,4257000
385000,4257000
374000,4256000
375000,4256000
376000,4256000
377000,4256000
378000,4256000
379000,4256000
380000,4256000
381000,4256000
382000,4256000
383000,4256000
384000,4256000
385000,4256000
375000,4255000
376000,4255000
377000,4255000
378000,4255000
379000,4255000
380000,4255000
381000,4255000
382000,4255000
383000,4255000
384000,4255000
385000,4255000
386000,4255000
376000,4254000
377000,4254000
378000,4254000
379000,4254000
380000,4254000
381000,4254000
382000,4254000
383000,4254000
384000,4254000
385000,4254000
386000,4254000
377000,4253000
378000,4253000
379000,4253000
380000,4253000
381000,4253000
382000,4253000
383000,4253000
384000,4253000
385000,4253000
386000,4253000
387000,4253000
377000,4252000
378000,4252000
379000,4252000
380000,4252000
381000,4252000
382000,4252000
383000,4252000
384000,4252000
385000,4252000
386000,4252000
387000,4252000
378000,4251000
379000,4251000
380000,4251000
381000,4251000
382000,4251000
383000,4251000
384000,4251000
385000,4251000
386000,4251000
387000,4251000
388000,4251000
379000,4250000
380000,4250000
381000,4250000
382000,4250000
383000,4250000
384000,4250000
385000,4250000
386000,4250000
387000,4250000
379000,4249000
380000,4249000
381000,4249000
382000,4249000
383000,4249000
384000,4249000
385000,4249000
386000,4249000
387000,4249000
388000,4249000
379000,4248000
380000,4248000
381000,4248000
382000,4248000
383000,4248000
384000,4248000
385000,4248000
386000,4248000
387000,4248000
388000,4248000
379000,4247000
380000,4247000
381000,4247000
382000,4247000
383000,4247000
384000,4247000
385000,4247000
386000,4247000
387000,4247000
388000,4247000
379000,4246000
380000,4246000
381000,4246000
382000,4246000
383000,4246000
384000,4246000
385000,4246000
386000,4246000
387000,4246000
388000,4246000
389000,4246000
378000,4245000
379000,4245000
380000,4245000
381000,4245000
382000,4245000
383000,4245000
384000,4245000
385000,4245000
386000,4245000
387000,4245000
388000,4245000
389000,4245000
391000,4245000
377000,4244000
378000,4244000
379000,4244000
380000,4244000
381000,4244000
382000,4244000
383000,4244000
384000,4244000
385000,4244000
386000,4244000
387000,4244000
388000,4244000
389000,4244000
391000,4244000
377000,4243000
378000,4243000
379000,4243000
380000,4243000
381000,4243000
382000,4243000
383000,4243000
384000,4243000
385000,4243000
386000,4243000
387000,4243000
388000,4243000
389000,4243000
392000,4243000
376000,4242000
377000,4242000
378000,4242000
379000,4242000
380000,4242000
381000,4242000
382000,4242000
383000,4242000
384000,4242000
385000,4242000
386000,4242000
387000,4242000
388000,4242000
389000,4242000
390000,4242000
391000,4242000
392000,4242000
376000,4241000
377000,4241000
378000,4241000
379000,4241000
380000,4241000
381000,4241000
382000,4241000
383000,4241000
384000,4241000
385000,4241000
386000,4241000
387000,4241000
388000,4241000
389000,4241000
390000,4241000
392000,4241000
380000,4240000
381000,4240000
382000,4240000
383000,4240000
384000,4240000
385000,4240000
386000,4240000
387000,4240000
388000,4240000
389000,4240000
390000,4240000
391000,4240000
393000,4240000
380000,4239000
381000,4239000
382000,4239000
383000,4239000
384000,4239000
385000,4239000
386000,4239000
387000,4239000
388000,4239000
389000,4239000
390000,4239000
391000,4239000
392000,4239000
394000,4239000
379000,4238000
380000,4238000
381000,4238000
382000,4238000
383000,4238000
384000,4238000
385000,4238000
386000,4238000
387000,4238000
388000,4238000
389000,4238000
390000,4238000
391000,4238000
392000,4238000
393000,4238000
394000,4238000
378000,4237000
379000,4237000
380000,4237000
381000,4237000
382000,4237000
383000,4237000
384000,4237000
385000,4237000
386000,4237000
387000,4237000
388000,4237000
389000,4237000
390000,4237000
391000,4237000
392000,4237000
393000,4237000
394000,4237000
395000,4237000
378000,4236000
379000,4236000
380000,4236000
381000,4236000
382000,4236000
383000,4236000
384000,4236000
385000,4236000
386000,4236000
387000,4236000
388000,4236000
389000,4236000
390000,4236000
391000,4236000
392000,4236000
393000,4236000
394000,4236000
395000,4236000
378000,4235000
379000,4235000
380000,4235000
381000,4235000
382000,4235000
383000,4235000
384000,4235000
385000,4235000
386000,4235000
387000,4235000
388000,4235000
389000,4235000
390000,4235000
391000,4235000
392000,4235000
393000,4235000
394000,4235000
395000,4235000
396000,4235000
379000,4234000
380000,4234000
381000,4234000
382000,4234000
383000,4234000
384000,4234000
385000,4234000
386000,4234000
387000,4234000
388000,4234000
389000,4234000
390000,4234000
391000,4234000
392000,4234000
393000,4234000
394000,4234000
395000,4234000
396000,4234000
397000,4234000
379000,4233000
380000,4233000
381000,4233000
382000,4233000
383000,4233000
384000,4233000
385000,4233000
386000,4233000
387000,4233000
388000,4233000
389000,4233000
390000,4233000
391000,4233000
392000,4233000
393000,4233000
394000,4233000
395000,4233000
396000,4233000
397000,4233000
398000,4233000
379000,4232000
380000,4232000
381000,4232000
382000,4232000
383000,4232000
384000,4232000
385000,4232000
386000,4232000
387000,4232000
388000,4232000
389000,4232000
390000,4232000
391000,4232000
392000,4232000
393000,4232000
394000,4232000
395000,4232000
396000,4232000
397000,4232000
398000,4232000
399000,4232000
400000,4232000
379000,4231000
380000,4231000
381000,4231000
382000,4231000
383000,4231000
384000,4231000
385000,4231000
386000,4231000
387000,4231000
388000,4231000
389000,4231000
390000,4231000
391000,4231000
392000,4231000
393000,4231000
394000,4231000
395000,4231000
396000,4231000
397000,4231000
398000,4231000
399000,4231000
400000,4231000
380000,4230000
381000,4230000
382000,4230000
383000,4230000
384000,4230000
385000,4230000
386000,4230000
387000,4230000
388000,4230000
389000,4230000
390000,4230000
391000,4230000
392000,4230000
393000,4230000
394000,4230000
395000,4230000
396000,4230000
397000,4230000
398000,4230000
399000,4230000
400000,4230000
381000,4229000
382000,4229000
383000,4229000
384000,4229000
385000,4229000
386000,4229000
387000,4229000
388000,4229000
389000,4229000
390000,4229000
391000,4229000
392000,4229000
393000,4229000
394000,4229000
395000,4229000
396000,4229000
397000,4229000
398000,4229000
399000,4229000
400000,4229000
381000,4228000
382000,4228000
383000,4228000
384000,4228000
385000,4228000
386000,4228000
387000,4228000
388000,4228000
389000,4228000
390000,4228000
391000,4228000
392000,4228000
393000,4228000
394000,4228000
395000,4228000
