months,maxdatahs,mindatahs,meandatahs
January,100,98.6,99.90526316
February,100,100,100
March,100,99.9,100
April,100,96.3,99.30105263
May,99.9,71.6,90.46052632
Early June,91.8,67.9,76.28736842
Late June,89.1,59.5,74.34789474
Early July,88.6,11.7,63.18342105
Late July,85.5,2.52,57.33763158
Early August,86.3,4.31,59.90184211
Late August,91.4,26.2,70.36078947
September,97.9,77.1,87.02184211
October,100,88.4,97.10605263
November,100,97,97.17894737
December,100,95.3,97.17894737
