months,maxdatawb,mindatawb,meandatawb
January,100,98.627215,99.93583234
February,100,99.964205,99.99829441
March,100,99.853254,99.99105827
April,100,96.259686,99.4299552
May,99.94289,71.554099,90.6115444
Early June,91.80321,67.889627,78.22200213
Late June,89.09262,59.486843,76.4163149
Early July,88.55161,11.739094,65.72448949
Late July,85.45735,2.516686,58.01546896
Early August,86.25828,4.312487,60.88215403
Late August,91.38191,26.203638,72.03986273
September,97.89752,77.12605,88.04364528
October,100,88.448145,97.22461768
November,100,97.011848,99.76230303
December,100,95.315226,99.69902545
