year,Habitat,volume,percent
2016,Suitable,6.6450275,100
2017,Suitable,6.3143025,100
2018,Suitable,6.651495,100
2019,Marginal,0.002,0.03
2019,Suitable,6.657,99.93
2019,Tolerable,0.0025,0.04
2021,Suitable,6.6567475,100
2022,Suitable,6.65204,100
2023,Suitable,6.6600575,100
2024,Suitable,5.700485,100
2025,Suitable,5.70386,100
2026,Suitable,5.704045,100
