habitat,color,volume,volumetotal,percent
Marginal,orange,0.2792,2.2508,12.4044784076773
Suitable,dodgerblue,1.09952,2.2508,48.8501866003199
Tolerable,yellow,0.14016,2.2508,6.22711924649014
Unsuitable,black,0.73192,2.2508,32.5182157455127
