habitat,color,volume,volumetotal,percent
Marginal,orange,0.227985,5.7147425,3.98941859585099
Suitable,dodgerblue,5.07262,5.7147425,88.7637544473789
Tolerable,yellow,0.2576375,5.7147425,4.50829586809905
Unsuitable,black,0.1565,5.7147425,2.7385310886711
