habitat,color,volume,volumetotal,percent
Marginal,orange,0.19062,2.2508,8.46898880398081
Suitable,dodgerblue,1.50727,2.2508,66.9659676559446
Tolerable,yellow,0.10661,2.2508,4.73653811977963
Unsuitable,black,0.4463,2.2508,19.828505420295
