"Station","Date","Sdepth","Wtemp","Ph","DO","Spcond","Salinity","Cruise","SECCHI","source","tempF"
"CB5.2",2025-07-23,27,27.2,7.4,0.1,31700,19.7,NA,NA,"MDmain",80.96
"CB5.2",2025-07-23,29,27.2,7.4,0.1,31800,19.7,NA,NA,"MDmain",80.96
"CB5.1",2025-07-23,0.5,28.1,8,6.4,18500,10.9,NA,"1.1","MDmain",82.58
"CB5.1",2025-07-23,1,28.1,8.1,6.4,18500,10.9,NA,NA,"MDmain",82.58
"CB5.1",2025-07-23,2,28.1,8,6.4,18500,10.9,NA,NA,"MDmain",82.58
"CB5.1",2025-07-23,3,28.1,8,6.4,18500,10.9,NA,NA,"MDmain",82.58
"CB5.1",2025-07-23,4,28.1,8,6.4,18500,10.9,NA,NA,"MDmain",82.58
"CB5.1",2025-07-23,5,28.2,8,6.1,18700,11,NA,NA,"MDmain",82.76
"CB5.1",2025-07-23,6,28.2,8,5.8,19100,11.3,NA,NA,"MDmain",82.76
"CB5.1",2025-07-23,7,28.3,7.9,5.6,19800,11.7,NA,NA,"MDmain",82.94
"CB5.1",2025-07-23,8,28.2,7.9,5.5,19900,11.8,NA,NA,"MDmain",82.76
"CB5.1",2025-07-23,9,28.2,7.9,5.5,19900,11.8,NA,NA,"MDmain",82.76
"CB5.1",2025-07-23,10,28.1,7.9,5.5,19900,11.8,NA,NA,"MDmain",82.58
"CB5.1",2025-07-23,11,27.9,7.8,4.8,20400,12.1,NA,NA,"MDmain",82.22
"CB5.1",2025-07-23,12,27.6,7.4,1.6,24200,14.6,NA,NA,"MDmain",81.68
"CB5.1",2025-07-23,13,27.5,7.4,1,24400,14.8,NA,NA,"MDmain",81.5
"CB5.1",2025-07-23,14,27.1,7.3,0.5,25700,15.6,NA,NA,"MDmain",80.78
"CB5.1",2025-07-23,15,26.9,7.3,0.2,27200,16.6,NA,NA,"MDmain",80.42
"CB5.1",2025-07-23,16,26.9,7.3,0.1,28000,17.2,NA,NA,"MDmain",80.42
"CB5.1",2025-07-23,17,26.9,7.3,0.1,28200,17.3,NA,NA,"MDmain",80.42
"CB5.1",2025-07-23,18,27,7.3,0.1,29100,17.9,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,19,27,7.3,0.1,29800,18.4,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,20,27,7.3,0.1,29800,18.4,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,21,27,7.4,0.1,30200,18.7,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,22,27,7.4,0.1,31000,19.2,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,23,27,7.4,0.1,31200,19.3,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,25,27,7.4,0.1,31400,19.5,NA,NA,"MDmain",80.6
"CB5.1",2025-07-23,27,27,7.4,0.1,31500,19.5,NA,NA,"MDmain",80.6
